,start,end
1,182.974,182.974
2,195.195,195.195
3,204.913,204.913
4,213.171,213.171
5,228.979,228.979
6,233.4,233.4
7,239.739,241.867
8,245.912,258.341
10,272.189,341.925
14,376.334,381.756
18,432.14,453.244
20,472.305,558.016
21,568.61,568.61
22,577.619,614.405
24,624.666,632.09
25,635.176,665.498
27,677.468,732.44
28,734.15,824.24
29,827.869,888.304
30,890.598,890.598
31,916.499,938.229
32,939.355,962.336
33,970.553,973.973
34,977.185,983.024
37,1016.933,1090.59
40,1143.976,1190.606
42,1202.493,1233.357
43,1234.9,1244.91
44,1247.121,1285.409
45,1287.203,1325.574
46,1328.41,1328.41
47,1330.955,1359.358
48,1362.319,1386.051
49,1389.138,1421.712
50,1425.049,1430.763
51,1443.025,1450.032
52,1450.824,1461.46
53,1466.09,1521.353
54,1524.106,1538.287
55,1544.168,1604.061
57,1649.022,1658.198
59,1663.287,1684.141
60,1685.934,1707.539
61,1710.125,1716.089
62,1731.104,1767.432
63,1768.934,1783.865
64,1786.41,1858.106
66,1865.864,1865.864
67,1875.54,1928.927
69,1934.266,1942.858
70,1950.866,1964.087
71,1967.09,1971.678
72,1973.763,1995.452
73,1997.078,2058.056
74,2059.933,2157.781
76,2167.749,2182.055
77,2185.642,2288.995
79,2298.505,2359.732
80,2365.697,2389.053
81,2391.306,2434.349
83,2443.024,2451.282
84,2456.371,2456.371
85,2468.591,2515.263
86,2518.85,2576.449
88,2597.303,2610.942
90,2623.538,2635.299
92,2647.895,2652.149
94,2660.992,2660.992
96,2672.92,2691.647
97,2694.066,2708.039
99,2717.048,2796.669
100,2822.486,2822.486
101,2833.289,2874.33
102,2875.79,2896.727
103,2900.022,2921.293
104,2927.091,2928.634
105,2931.262,2954.452
106,2956.078,3044.917
107,3046.919,3196.777
108,3200.155,3225.139
109,3227.433,3240.612
110,3253.876,3290.078
111,3290.621,3294.833
112,3299.254,3304.593
113,3305.677,3327.241
114,3327.866,3339.294
115,3341.588,3354.393
116,3356.228,3364.319
117,3368.282,3368.282
118,3374.955,3387.968
119,3389.303,3404.86
120,3410.657,3410.657
121,3461.416,3497.828
123,3523.687,3523.687
124,3530.485,3541.58
126,3600.555,3640.804
127,3642.556,3694.441
128,3696.568,3743.156
129,3744.574,3751.998
132,3771.977,3779.526
133,3799.754,3808.304
134,3813.018,3851.473
135,3853.224,3853.224
137,3869.991,3936.766
138,3939.06,3989.652
140,3999.162,4031.778
141,4037.867,4056.552
142,4058.888,4068.773
143,4090.545,4118.156
145,4138.176,4178.841
146,4180.676,4190.853
148,4207.745,4223.97
149,4230.309,4269.891
153,4286.616,4301.464
154,4303.174,4341.379
155,4344.298,4361.941
156,4363.776,4375.454
157,4377.29,4395.891
158,4398.102,4417.163
159,4419.999,4436.057
160,4437.475,4470.716
161,4474.804,4512.341
162,4514.093,4517.638
163,4520.599,4557.762
164,4562.808,4562.808
165,4602.181,4638.092
166,4651.272,4651.272
167,4659.697,4701.655
168,4705.117,4751.83
169,4760.214,4760.214
170,4764.802,4779.984
171,4786.448,4792.746
172,4796.959,4802.089
173,4806.51,4866.737
174,4870.365,4876.205
175,4882.503,5007.044
176,5009.171,5009.171
177,5010.923,5085.747
178,5088.25,5103.765
180,5128.665,5135.714
181,5137.299,5185.514
182,5187.516,5189.559
183,5191.603,5198.527
185,5204.741,5209.371
186,5210.706,5215.127
187,5217.421,5232.769
189,5237.357,5243.53
190,5246.158,5263.383
191,5272.642,5317.771
194,5346.591,5367.404
195,5369.656,5369.656
198,5427.422,5496.324
201,5532.569,5532.569
203,5561.264,5603.223
207,5667.453,5742.904
208,5756.751,5785.446
209,5790.243,5859.979
210,5876.287,5916.452
211,5918.371,5973.176
213,5976.888,5993.237
214,5998.826,6027.772
216,6039.158,6088.833
218,6107.184,6114.108
220,6129.957,6177.63
