,start,end
0,0.0,216.633
1,225.976,319.82
3,476.476,532.908
4,539.831,550.384
5,554.596,554.596
8,601.059,609.401
9,610.527,624.833
10,628.212,639.848
11,641.141,656.74
12,660.536,694.611
13,695.445,700.909
14,702.077,714.298
16,724.933,726.185
18,740.991,782.95
20,795.921,810.602
26,841.675,854.396
28,862.613,866.366
29,867.534,875.792
31,882.633,888.18
34,895.145,909.243
35,910.953,932.891
36,945.279,974.141
37,978.604,1012.679
38,1014.348,1017.518
40,1036.453,1074.116
41,1079.705,1122.789
42,1126.335,1135.761
43,1137.721,1214.256
44,1217.176,1217.176
45,1244.578,1288.205
46,1291.166,1329.955
47,1332.291,1385.761
48,1387.638,1459.418
49,1461.044,1503.295
50,1508.133,1532.074
51,1542.96,1596.805
52,1600.142,1638.514
53,1639.348,1648.565
54,1650.776,1676.51
55,1681.932,1693.402
56,1697.489,1705.873
57,1711.336,1735.652
58,1737.321,1743.202
59,1749.917,1814.314
60,1817.15,1849.766
61,1854.396,1863.989
62,1865.532,1883.759
63,1896.313,1931.723
64,1937.396,1951.493
65,1955.873,1955.873
66,1962.754,2002.044
67,2004.463,2021.605
69,2032.241,2047.297
70,2050.884,2086.92
72,2092.092,2128.962
74,2150.484,2204.705
75,2210.586,2285.869
76,2288.664,2304.054
78,2328.537,2345.179
80,2358.984,2384.635
81,2368.035,2455.789
82,2457.749,2557.057
83,2561.27,2630.923
84,2633.383,2665.207
86,2674.925,2689.398
87,2711.837,2733.525
88,2742.701,2784.243
89,2795.879,2846.263
90,2850.058,2933.976
91,2935.269,2944.695
93,2981.106,3038.956
94,3043.46,3045.462
95,3055.347,3090.716
96,3092.759,3110.736
97,3123.081,3133.55
98,3134.843,3206.206
99,3211.628,3224.933
100,3226.935,3268.852
101,3272.731,3336.461
102,3340.299,3373.415
103,3376.251,3415.332
104,3417.668,3478.145
105,3479.479,3544.795
106,3547.339,3608.108
107,3616.658,3632.633
108,3639.681,3653.946
109,3656.073,3844.386
110,3851.768,3886.803
111,3888.68,3916.583
112,3920.003,3928.804
113,3931.139,3959.751
114,3961.086,3969.803
115,3975.851,3984.651
116,3986.445,4019.895
119,4031.532,4034.868
122,4049.216,4069.862
123,4070.654,4076.618
124,4077.911,4083.917
125,4085.794,4091.341
126,4094.386,4133.133
128,4140.14,4152.611
129,4155.155,4207.541
131,4217.176,4248.999
132,4250.834,4257.216
134,4279.613,4299.383
135,4302.177,4323.782
136,4325.492,4357.482
137,4358.65,4360.402
138,4362.487,4371.914
139,4373.916,4379.254
140,4381.548,4385.719
142,4393.602,4397.523
144,4402.361,4423.006
145,4425.008,4454.329
146,4456.248,4482.441
147,4484.401,4567.234
148,4569.194,4668.544
149,4671.171,4704.496
151,4710.544,4742.576
152,4749.958,4750.876
153,4755.422,4781.99
154,4784.91,4804.93
155,4807.516,4823.699
158,4840.007,4869.995
159,4871.914,4932.266
160,4934.434,5013.639
161,5018.018,5054.721
164,5078.579,5160.327
165,5165.082,5208.417
166,5229.563,5237.112
167,5239.948,5255.422
168,5260.844,5281.114
169,5283.408,5325.45
170,5327.578,5337.379
171,5339.423,5366.158
172,5368.243,5396.063
173,5400.734,5433.6
174,5435.727,5491.867
175,5497.915,5509.635
176,5522.147,5594.428
177,5598.015,5612.654
179,5619.953,5623.415
180,5630.506,5632.174
182,5671.672,5763.347
183,5765.891,5799.341
184,5800.551,5865.824
185,5870.37,5872.497
187,5885.093,5947.573
188,5950.993,6001.126
189,6013.138,6017.601
191,6036.662,6072.406
192,6078.287,6085.002
193,6089.131,6106.648
194,6110.944,6114.698
195,6118.16,6129.963
198,6143.227,6161.37
199,6162.538,6183.892
200,6187.062,6217.926
201,6220.012,6281.323
202,6283.033,6318.861
203,6333.417,6376.919
204,6380.047,6394.269
205,6396.146,6398.982
207,6430.764,6465.424
208,6473.182,6476.894
209,6484.61,6502.92
210,6513.138,6523.106
211,6529.029,6578.412
212,6584.334,6670.295
213,6678.095,6719.136
214,6722.556,6804.388
216,6824.908,6925.634
