,start,end
1,59.685,66.525
2,69.945,74.783
4,83.458,90.007
7,110.444,112.195
8,114.281,116.158
9,121.121,148.44
10,149.941,170.086
11,171.838,184.434
12,186.77,186.77
13,207.541,226.559
15,238.446,275.942
16,279.32,312.52
17,315.482,332.332
19,397.814,431.097
20,433.266,470.928
21,473.639,507.673
22,511.385,539.872
23,543.709,574.323
24,575.992,596.387
25,598.848,627.835
26,630.838,652.318
27,655.196,671.796
28,674.298,680.387
29,691.357,733.524
30,734.984,779.695
31,783.157,855.687
33,871.87,904.069
34,909.366,918.333
36,939.271,978.101
37,985.108,990.697
38,1000.749,1008.173
39,1011.176,1042.29
40,1043.917,1076.116
41,1077.909,1097.596
42,1100.64,1119.117
43,1129.085,1140.43
44,1143.308,1158.907
45,1161.826,1173.129
47,1188.144,1223.513
49,1230.979,1246.995
50,1248.288,1256.713
51,1258.256,1294.834
52,1297.17,1328.66
53,1332.997,1349.18
54,1352.35,1395.184
55,1397.645,1418.958
57,1441.063,1512.176
58,1517.098,1538.202
59,1543.624,1657.905
60,1660.991,1700.364
61,1703.534,1713.085
62,1715.588,1755.252
63,1770.851,1816.605
64,1819.566,1868.073
66,1896.852,1997.536
67,2001.832,2099.304
71,2167.038,2203.908
72,2207.412,2240.195
73,2242.113,2266.137
74,2268.473,2285.448
75,2302.924,2335.748
76,2338.876,2362.733
77,2366.988,2372.577
78,2374.745,2426.13
79,2429.842,2449.195
80,2459.08,2481.06
81,2485.481,2501.163
82,2503.499,2550.296
84,2560.973,2583.078
85,2587.041,2634.004
86,2637.841,2648.435
87,2651.313,2670.791
88,2672.668,2672.668
89,2689.768,2717.796
90,2718.714,2727.806
92,2739.651,2739.651
94,2758.045,2818.522
95,2820.315,2832.619
96,2834.913,2890.552
97,2893.221,2919.623
98,2920.499,2940.268
99,2948.318,2983.353
101,3044.789,3051.755
102,3053.798,3064.726
103,3072.192,3085.997
105,3110.396,3166.035
106,3171.708,3183.636
107,3189.559,3236.856
108,3241.611,3266.26
109,3273.142,3329.031
110,3332.118,3377.58
111,3377.872,3442.978
112,3458.536,3458.536
114,3518.387,3588.082
115,3594.421,3730.641
116,3735.02,3745.322
117,3757.417,3768.887
119,3796.164,3871.114
120,3882.209,3904.856
121,3910.028,3992.736
122,3996.656,4047.123
123,4052.128,4102.762
124,4110.436,4197.482
125,4198.274,4212.747
126,4215.208,4218.336
128,4239.398,4305.673
129,4320.688,4368.778
131,4387.713,4403.813
133,4453.529,4487.73
134,4491.233,4538.614
136,4606.473,4613.605
137,4620.279,4769.636
138,4772.806,4812.637
139,4816.6,4877.953
140,4880.872,4888.171
141,4894.427,5007.165
142,5009.042,5040.49
144,5072.397,5079.696
145,5085.702,5115.898
147,5130.913,5130.913
148,5137.003,5137.003
150,5185.009,5189.514
151,5191.516,5198.523
152,5204.32,5212.411
153,5213.079,5226.55
154,5228.052,5301.667
155,5303.252,5320.853
156,5322.396,5348.339
157,5352.968,5419.827
158,5423.914,5523.472
159,5528.602,5588.579
160,5592.833,5592.833
161,5606.972,5624.74
162,5632.205,5668.742
163,5671.536,5888.294
164,5895.26,5926.791
