,start,end
1,32.783,133.3
2,144.561,177.177
4,195.362,202.077
5,206.248,238.113
7,296.463,321.029
9,434.976,520.061
10,525.692,543.626
11,547.672,575.742
12,579.954,588.713
13,590.256,595.804
14,651.15,681.472
16,722.597,781.823
17,787.286,834.709
19,851.1,969.051
21,983.524,1065.064
23,1073.864,1081.33
24,1094.927,1189.105
25,1210.459,1271.437
26,1286.16,1322.905
27,1326.742,1386.01
28,1389.096,1542.249
29,1562.269,1660.951
31,1669.168,1709.499
32,1710.709,1747.454
34,1759.925,1813.103
36,1823.655,1880.17
37,1884.091,1931.763
38,1935.559,1976.558
40,1984.065,1984.065
41,1998.079,2013.136
43,2029.11,2058.723
45,2080.704,2080.704
47,2099.222,2128.209
49,2141.848,2224.931
51,2266.389,2299.422
52,2301.716,2319.609
53,2323.863,2356.896
55,2372.537,2445.36
56,2453.618,2546.711
57,2570.651,2758.673
58,2765.763,2869.742
60,2896.977,2929.135
61,2952.324,2982.188
62,2984.773,3030.486
63,3045.709,3101.682
64,3103.934,3175.672
66,3183.972,3248.495
67,3250.914,3324.029
69,3331.703,3359.773
70,3365.904,3375.539
71,3382.671,3442.356
72,3448.57,3577.115
74,3592.38,3623.995
75,3633.255,3664.578
76,3677.007,3696.276
77,3702.324,3721.718
78,3730.06,3748.036
79,3753.792,3850.68
80,3852.807,3852.807
82,3952.532,3984.606
83,3987.15,4029.734
84,4036.658,4086.749
85,4090.128,4127.54
86,4129.208,4216.045
87,4225.763,4248.244
88,4250.872,4287.241
89,4290.077,4331.118
90,4333.746,4361.44
91,4378.916,4408.446
94,4463.125,4463.125
96,4507.294,4603.557
97,4608.062,4668.414
98,4674.42,4692.354
99,4695.858,4695.858
100,4710.748,4740.361
101,4742.321,4748.369
103,4765.135,4788.701
104,4791.203,4805.009
106,4839.084,4839.084
107,4865.944,4888.175
108,4911.657,4942.271
109,4948.277,4962.207
111,5012.716,5012.716
113,5065.477,5074.861
114,5079.241,5095.007
115,5148.226,5169.873
116,5174.002,5221.383
117,5227.973,5227.973
118,5261.923,5308.094
120,5319.648,5353.223
121,5356.726,5395.974
122,5399.269,5474.135
123,5479.432,5497.784
124,5500.62,5544.914
125,5546.624,5585.413
127,5602.222,5672.709
128,5677.338,5725.303
130,5743.947,5774.435
131,5778.815,5813.224
132,5815.852,5963.416
133,5969.422,6047.458
134,6054.757,6063.099
135,6079.115,6096.173
136,6103.222,6103.222
137,6117.403,6141.719
138,6145.681,6160.363
139,6163.657,6185.554
140,6187.515,6195.606
141,6200.486,6222.383
142,6225.177,6246.74
143,6250.327,6324.151
144,6326.82,6345.881
145,6349.468,6388.09
146,6394.513,6444.313
147,6490.609,6512.339
148,6517.052,6549.543
149,6558.218,6576.195
150,6580.532,6606.433
151,6608.727,6628.956
152,6632.543,6739.107
153,6742.527,6763.006
154,6769.805,6797.04
155,6800.794,6859.478
156,6873.325,6902.854
158,6931.425,6957.409
159,6972.465,7019.387
160,7025.06,7058.26
161,7061.388,7115.859
162,7121.281,7121.281
163,7130.79,7130.79
164,7146.723,7146.723
165,7154.022,7154.022
166,7164.199,7176.461
167,7183.676,7201.903
168,7204.781,7229.305
169,7244.821,7263.923
170,7269.095,7275.268
171,7278.521,7341.876
172,7348.299,7410.82
173,7423.791,7536.279
174,7545.913,7646.222
175,7649.976,7733.184
176,7747.573,7863.564
177,7869.487,7960.452
178,7967.084,8056.131
179,8058.592,8105.431
180,8120.863,8142.968
181,8145.512,8265.591
