,start,end
2,47.005,47.005
3,54.721,82.874
4,95.053,148.482
5,152.694,172.464
7,195.904,242.826
8,244.453,246.621
9,263.346,288.747
10,292.125,305.764
11,309.768,322.405
12,327.16,333.667
14,343.552,367.951
15,370.996,397.397
16,399.524,473.974
17,486.069,533.992
18,536.035,562.854
19,568.526,568.526
20,590.298,667.041
21,669.586,679.137
22,681.139,690.565
23,691.9,728.061
24,734.817,748.873
25,752.961,755.755
26,756.923,872.997
27,877.168,902.235
28,909.117,941.023
29,943.276,972.597
30,974.307,983.357
31,985.318,991.449
32,994.118,1040.248
33,1044.21,1150.483
34,1155.196,1188.187
35,1191.732,1223.347
36,1225.933,1267.683
37,1275.816,1289.038
38,1293.0,1389.471
39,1390.431,1396.312
40,1398.856,1409.909
41,1410.951,1464.88
42,1467.007,1481.98
43,1483.19,1522.146
44,1534.158,1579.787
45,1594.009,1655.696
46,1657.239,1697.821
48,1717.007,1771.52
49,1782.614,1807.097
50,1817.065,1866.782
51,1868.2,1902.943
52,1902.943,1914.287
53,1914.287,1937.227
55,1945.527,2004.461
57,2012.219,2050.09
58,2052.717,2059.391
59,2065.105,2084.374
60,2093.675,2127.459
61,2130.128,2154.194
62,2162.619,2225.64
63,2241.698,2292.29
64,2296.336,2310.517
66,2319.317,2329.536
68,2339.212,2345.176
69,2349.264,2353.81
71,2383.172,2462.418
72,2465.421,2565.48
73,2568.733,2586.083
74,2586.083,2594.008
75,2594.008,2642.473
76,2644.934,2672.92
77,2676.465,2692.773
78,2721.761,2737.401
79,2743.282,2787.994
80,2789.829,2806.637
82,2826.824,2834.582
84,2859.356,2868.783
86,2885.966,2892.098
88,2909.281,2909.281
90,2925.381,2949.071
91,2967.715,3020.392
93,3041.497,3095.092
94,3101.348,3137.259
95,3150.23,3172.336
97,3195.567,3241.905
98,3249.955,3296.168
99,3300.797,3331.411
100,3333.872,3367.864
101,3368.782,3424.254
102,3438.393,3448.111
103,3459.247,3504.042
104,3505.627,3562.893
105,3565.02,3585.248
106,3589.586,3593.215
109,3656.236,3659.531
111,3683.513,3705.493
112,3709.414,3724.596
113,3729.726,3735.19
114,3751.039,3760.715
117,3808.388,3808.388
119,3845.842,3876.289
120,3877.916,3926.131
122,3945.984,3990.486
123,3992.864,4033.988
124,4035.031,4061.516
125,4064.394,4131.336
126,4132.837,4132.837
127,4145.933,4210.373
128,4213.376,4236.899
129,4242.572,4282.361
131,4310.056,4325.947
133,4331.911,4357.52
134,4361.19,4428.215
135,4429.884,4499.245
136,4507.42,4517.471
138,4523.811,4549.462
139,4551.714,4569.94
140,4571.442,4606.477
141,4612.983,4629.959
142,4631.502,4643.848
143,4649.478,4662.408
144,4664.326,4768.847
145,4767.137,4789.868
146,4792.454,4809.054
147,4812.975,4832.036
148,4838.292,4891.22
149,4894.014,4911.698
152,4926.547,4935.931
153,4937.057,4947.693
154,4949.528,4955.367
155,4956.201,4962.791
156,4965.961,4969.298
157,4975.47,5010.589
158,5014.051,5024.686
159,5031.109,5076.863
160,5078.115,5096.675
161,5097.843,5105.726
162,5110.731,5141.219
163,5143.096,5182.636
164,5183.595,5235.689
165,5237.149,5268.889
167,5277.481,5308.47
168,5314.226,5333.119
169,5336.581,5344.965
170,5349.01,5364.943
171,5366.736,5456.409
