,start,end
0,0.0,45.879
2,199.282,199.282
3,213.88,213.88
4,238.113,284.117
6,307.849,316.233
7,318.61,363.613
8,371.496,379.629
14,418.293,437.604
15,443.985,485.527
16,493.243,536.286
19,593.968,610.568
20,611.82,623.873
24,691.024,714.923
25,716.966,760.009
27,769.185,803.136
29,828.536,834.625
30,836.836,856.731
32,896.395,903.444
33,905.947,921.838
34,926.342,978.144
35,979.395,1011.427
36,1012.553,1114.947
38,1294.502,1321.403
41,1334.458,1412.578
43,1435.142,1487.569
45,1509.675,1537.244
50,1636.343,1639.304
52,1669.918,1683.849
54,1704.87,1740.906
55,1745.494,1775.482
56,1777.317,1881.338
61,2010.508,2123.455
63,2137.802,2273.521
65,2288.661,2299.13
67,2303.802,2312.185
69,2334.29,2354.435
70,2358.273,2374.747
71,2375.707,2452.659
72,2454.452,2482.355
73,2485.108,2531.446
74,2538.619,2614.695
75,2618.157,2652.316
76,2654.777,2662.91
78,2683.139,2856.771
82,2904.235,2907.863
83,2910.908,2935.933
84,2939.979,3049.213
85,3051.966,3081.161
87,3088.127,3101.807
88,3104.768,3167.164
89,3172.002,3180.844
90,3186.392,3299.88
93,3356.395,3408.03
95,3457.162,3467.172
96,3469.508,3537.409
97,3539.494,3585.373
98,3591.838,3606.937
101,3623.578,3631.878
105,3771.101,3800.171
106,3802.173,3830.285
110,3863.36,3919.624
111,3921.751,4062.35
112,4065.144,4086.874
115,4137.133,4158.237
116,4162.116,4181.302
117,4184.68,4235.148
118,4237.9,4267.096
120,4356.435,4373.286
121,4378.541,4395.266
122,4411.24,4476.055
123,4479.35,4526.355
124,4532.653,4567.271
125,4584.955,4643.264
126,4646.141,4673.252
127,4676.171,4769.39
128,4772.226,4798.377
132,4890.844,4895.307
134,4903.899,4929.258
136,4949.153,4974.261
137,4975.095,5006.168
139,5011.84,5011.84
141,5033.904,5084.746
142,5086.29,5115.319
143,5119.99,5241.486
144,5243.447,5271.516
145,5274.269,5296.458
146,5298.335,5331.117
147,5343.964,5382.168
148,5386.798,5409.946
149,5415.577,5421.75
151,5439.142,5462.54
153,5471.007,5487.774
156,5504.082,5541.536
157,5548.668,5568.229
158,5569.814,5584.788
160,5608.269,5660.989
165,5794.998,5809.095
166,5809.679,5863.566
167,5865.818,5912.698
168,5918.746,5989.025
169,5997.867,6021.224
170,6025.478,6061.889
171,6064.475,6079.74
172,6082.493,6082.493
177,6146.974,6170.206
178,6173.834,6194.605
179,6199.276,6208.869
180,6220.506,6270.598
182,6297.041,6356.934
183,6359.728,6405.399
197,6654.148,6663.615
202,6709.077,6712.581
208,6925.252,7019.596
209,7021.014,7050.377
211,7056.841,7056.841
213,7067.477,7081.408
215,7089.916,7132.0
217,7141.593,7263.131
219,7295.538,7425.251
221,7445.688,7499.659
222,7504.08,7570.229
223,7575.985,7598.966
224,7600.551,7632.124
225,7633.835,7709.327
226,7711.662,7755.164
229,7854.263,7899.809
230,7903.187,7903.187
231,7917.535,7957.032
233,7968.502,7996.906
234,7999.783,8025.017
235,8028.02,8042.159
236,8056.59,8072.398
237,8082.616,8100.342
238,8103.137,8148.932
239,8150.017,8179.838
242,8329.822,8341.583
243,8343.961,8371.78
244,8373.824,8420.537
245,8424.333,8462.245
246,8465.749,8508.25
247,8510.711,8553.754
248,8555.464,8593.293
249,8595.921,8636.044
254,8684.467,8691.182
256,8696.188,8705.655
258,8714.164,8722.797
261,8765.423,8775.183
262,8778.395,8799.708
265,8829.112,8852.135
271,8930.296,8951.776
272,8952.318,8996.196
273,8999.574,8999.574
275,9006.664,9039.864
277,9067.1,9082.532
279,9104.637,9163.071
