,start,end
1,44.127,83.917
2,88.547,103.812
3,108.066,119.328
4,125.375,150.15
5,152.778,160.494
7,171.296,228.937
8,236.278,291.958
9,293.21,326.785
10,333.583,369.452
11,370.579,394.811
12,396.229,505.755
13,510.135,651.359
15,684.934,735.235
16,738.446,760.301
17,761.219,799.549
19,808.391,909.2
20,919.168,960.626
21,962.462,972.597
22,976.309,1008.216
23,1015.223,1046.045
24,1060.81,1091.465
25,1093.217,1248.664
26,1256.464,1342.091
27,1345.052,1358.816
29,1366.365,1404.778
30,1407.281,1472.054
31,1475.391,1481.271
32,1484.984,1554.678
33,1557.222,1579.661
34,1581.497,1615.781
35,1618.116,1647.104
36,1651.108,1651.608
37,1656.655,1713.67
38,1720.385,1762.094
39,1766.932,1810.475
40,1818.984,1851.308
41,1853.602,1865.822
42,1869.034,1881.63
43,1883.256,1912.702
44,1916.206,1991.531
46,1999.08,2027.692
47,2032.489,2066.564
48,2069.651,2069.651
49,2104.269,2220.76
50,2222.429,2308.556
51,2310.099,2364.988
52,2366.614,2493.825
53,2495.284,2587.084
54,2588.127,2641.597
55,2643.474,2700.031
56,2703.2,2708.664
57,2715.546,2726.057
58,2780.611,2809.098
59,2810.224,2841.505
60,2843.799,2879.585
61,2882.797,2987.818
62,2990.988,3037.451
63,3041.372,3081.704
64,3093.716,3120.326
65,3121.994,3164.703
66,3168.165,3260.757
68,3272.269,3462.584
69,3465.879,3501.456
70,3505.21,3603.35
71,3605.143,3718.924
73,3759.297,3901.189
75,3911.032,3960.665
77,3980.476,4114.444
78,4116.613,4204.492
79,4205.91,4257.587
80,4260.59,4278.649
81,4281.277,4534.53
82,4556.093,4612.691
83,4615.82,4668.956
84,4669.707,4701.488
85,4716.211,4773.352
87,4872.159,5062.849
88,5066.979,5085.872
89,5099.886,5160.53
91,5209.413,5252.664
92,5263.258,5269.723
93,5272.517,5285.864
94,5287.24,5345.173
95,5346.091,5430.55
96,5431.259,5461.289
97,5462.123,5499.035
98,5500.328,5521.766
99,5530.358,5556.092
100,5559.637,5592.337
101,5596.299,5693.021
103,5731.059,5788.241
104,5792.328,6043.955
105,6052.004,6173.459
106,6175.419,6269.972
107,6271.682,6478.138
108,6480.849,6532.818
109,6535.988,6660.153
110,6661.822,6734.436
