,start,end
0,0.0,70.07
1,72.03,100.309
2,100.892,114.74
3,117.159,259.76
4,266.683,283.408
5,291.208,319.736
6,323.698,349.182
7,353.019,440.732
8,451.785,509.009
9,510.26,542.0
11,560.018,638.054
13,655.029,700.7
14,701.659,752.71
15,754.212,754.212
16,784.867,920.336
17,928.219,1061.519
18,1062.687,1062.687
19,1069.026,1078.286
20,1080.204,1100.641
22,1127.126,1150.941
23,1152.026,1194.944
24,1198.114,1223.639
25,1227.059,1259.758
26,1262.636,1297.463
28,1302.885,1347.054
29,1348.097,1355.354
30,1361.986,1373.539
31,1376.041,1408.782
33,1429.97,1446.236
34,1460.918,1565.981
35,1575.449,1642.933
36,1644.601,1785.617
37,1798.839,1971.219
38,1977.225,2007.547
39,2018.433,2036.201
40,2039.537,2108.898
41,2110.692,2243.074
42,2249.831,2300.673
43,2302.258,2312.644
44,2317.941,2355.603
45,2362.151,2379.085
46,2380.295,2453.284
47,2466.547,2476.891
48,2487.11,2514.303
49,2518.433,2614.403
50,2617.573,2629.794
52,2643.182,2739.362
53,2745.868,2811.517
54,2815.146,2879.46
55,2882.505,2931.762
56,2952.741,3002.708
57,3004.96,3045.584
58,3048.087,3088.919
59,3090.254,3107.771
60,3115.821,3127.583
61,3137.593,3198.195
63,3248.745,3272.186
65,3285.407,3325.072
66,3326.49,3367.114
67,3377.332,3462.876
69,3485.315,3536.908
71,3550.38,3570.734
73,3592.005,3650.73
74,3653.984,3670.917
75,3671.501,3734.814
77,3759.297,3800.63
78,3801.631,3835.915
79,3837.042,3907.112
80,3908.363,3944.816
81,3947.235,3962.917
82,3964.127,3964.127
83,4152.982,4182.428
84,4184.305,4253.749
85,4256.21,4307.553
86,4310.973,4348.01
87,4349.637,4420.166
89,4427.673,4492.905
90,4495.825,4619.949
91,4625.079,4642.388
92,4645.182,4678.299
93,4682.303,4750.245
94,4764.51,4854.683
96,4872.826,4879.166
97,4881.668,4933.762
98,4935.347,4943.021
99,4947.693,4994.573
100,5004.249,5042.162
101,5044.79,5056.426
102,5059.721,5165.369
103,5173.126,5182.01
105,5193.522,5226.596
106,5229.599,5246.616
107,5254.332,5285.28
108,5286.323,5316.311
109,5316.811,5376.288
111,5383.837,5443.104
112,5447.4,5527.147
113,5529.649,5560.055
114,5566.186,5585.747
115,5587.04,5604.891
116,5609.562,5638.383
117,5640.927,5771.724
118,5777.063,5822.692
120,5840.209,5868.988
121,5875.745,5908.319
122,5910.321,5940.977
123,5942.311,6042.703
124,6045.206,6131.5
125,6132.96,6148.726
126,6154.857,6160.529
