,start,end
2,185.602,217.759
3,220.429,227.936
4,239.281,239.281
5,270.729,296.254
8,364.239,372.622
9,374.624,374.624
10,378.628,392.726
11,398.023,403.236
12,405.572,532.824
13,535.744,537.746
14,602.602,660.493
15,665.79,745.495
16,752.335,916.457
17,936.018,1056.931
18,1065.606,1148.606
19,1150.149,1210.668
20,1213.254,1344.718
21,1346.22,1358.399
22,1362.319,1438.02
23,1454.536,1478.018
24,1480.396,1495.911
25,1500.833,1517.057
27,1541.957,1560.517
29,1734.441,1773.73
30,1775.774,1783.657
31,1791.748,1831.913
32,1837.711,1926.716
33,1932.722,1969.384
34,1970.385,2061.059
35,2063.019,2165.58
36,2179.761,2313.269
37,2316.022,2508.214
38,2617.907,2730.144
39,2736.233,2756.712
40,2760.383,2795.876
41,2808.097,2861.4
42,2870.743,2918.666
44,2946.36,3026.44
46,3119.241,3154.651
47,3158.238,3168.999
48,3185.349,3236.859
49,3239.945,3316.355
50,3330.994,3355.269
51,3358.48,3435.265
52,3437.309,3442.606
53,3445.108,3447.778
54,3451.156,3520.308
55,3524.062,3573.612
56,3576.323,3610.232
57,3613.652,3786.491
58,3791.496,3863.234
59,3865.779,3962.834
60,3967.922,3971.634
61,3972.594,3977.474
63,3980.935,3982.687
64,3988.109,4131.085
65,4134.422,4156.569
66,4164.869,4289.911
67,4296.584,4358.896
69,4401.105,4507.878
70,4515.469,4609.188
71,4615.903,4741.195
72,4753.749,4829.283
73,4836.915,4863.859
74,4870.908,5034.696
75,5039.952,5077.906
76,5081.743,5202.656
77,5210.997,5274.227
78,5333.912,5339.084
79,5402.147,5443.605
81,5494.447,5496.366
83,5511.715,5522.142
84,5524.936,5530.233
85,5532.736,5536.531
87,5549.043,5549.043
88,5566.019,5595.048
89,5597.592,5657.527
90,5663.408,5696.357
91,5745.74,5762.131
92,5763.174,5779.357
94,5802.964,5825.778
95,5833.619,5833.619
96,5852.555,5886.547
98,5898.976,6048.334
101,6100.052,6142.386
102,6147.6,6214.917
103,6218.17,6221.006
104,6230.015,6393.929
107,6528.397,6541.326
109,6567.895,6785.862
111,6864.066,6893.47
112,6897.224,6984.311
113,7001.244,7038.281
