,start,end
1,44.336,61.228
5,271.104,271.104
6,307.849,321.196
9,392.517,431.598
12,468.677,501.918
14,554.679,558.475
15,572.697,598.473
16,600.058,628.962
19,648.648,661.953
23,693.693,708.416
24,710.251,734.317
27,770.812,770.812
30,800.758,816.691
33,849.64,871.329
35,891.307,917.041
37,932.557,1027.109
38,1034.659,1040.289
39,1051.3,1061.936
41,1095.344,1113.904
42,1115.698,1132.089
43,1135.843,1138.721
44,1141.891,1147.938
45,1149.19,1167.124
47,1190.439,1200.783
50,1224.39,1230.729
51,1232.815,1261.177
52,1262.219,1269.059
53,1269.768,1296.629
54,1297.004,1298.088
58,1352.643,1368.909
60,1372.83,1389.096
62,1390.931,1394.435
70,1448.906,1463.587
71,1465.297,1502.626
74,1654.57,1679.72
76,1720.886,1756.672
77,1765.347,1815.564
78,1826.7,1872.12
80,1930.804,1945.527
81,1956.288,1989.029
82,1998.663,2013.136
84,2037.994,2043.667
85,2050.799,2068.191
87,2102.35,2102.35
89,2158.49,2184.015
91,2222.595,2242.24
92,2246.077,2289.871
94,2343.007,2356.896
97,2425.423,2430.928
98,2445.818,2449.447
100,2496.577,2520.518
103,2589.754,2623.037
104,2638.678,2672.42
106,2707.538,2739.028
107,2742.74,2782.029
114,3084.039,3111.984
116,3137.926,3149.772
118,3191.063,3208.205
120,3257.379,3329.284
121,3354.226,3375.539
126,3572.903,3583.288
128,3594.466,3622.786
129,3630.418,3646.893
130,3650.772,3650.772
132,3752.707,3802.007
134,3828.575,3855.727
135,3860.148,3892.722
136,3899.729,3909.906
138,3956.494,3993.114
139,4008.796,4048.461
140,4053.341,4085.54
142,4140.094,4162.784
143,4169.415,4178.508
144,4197.068,4207.161
145,4210.206,4282.236
147,4364.193,4394.223
149,4489.777,4514.301
150,4530.067,4534.113
153,4606.352,4613.192
155,4720.758,4761.674
156,4770.891,4815.602
157,4820.107,4835.289
158,4843.255,4879.5
160,4933.47,4933.47
163,4979.266,4999.536
164,5007.92,5072.651
165,5083.453,5138.592
166,5155.317,5195.774
168,5222.926,5294.372
169,5298.293,5357.727
170,5377.122,5471.341
171,5509.379,5548.626
172,5558.344,5592.212
175,5671.791,5671.791
177,5748.91,5810.43
179,5891.26,5938.975
182,5995.823,6004.79
184,6068.521,6114.9
185,6116.61,6116.61
186,6148.809,6154.649
188,6539.158,6583.702
189,6585.496,6603.889
193,6721.34,6759.962
196,6819.229,6819.229
198,6878.33,6899.976
199,6906.775,6906.775
201,6938.932,6977.846
202,6986.229,7016.927
206,7130.874,7189.599
209,7271.514,7293.286
211,7340.291,7364.315
213,7386.337,7440.016
214,7446.105,7485.478
217,7632.041,7632.041
219,7808.217,7899.433
