,start,end
2,113.03,142.976
3,148.273,205.914
4,213.63,276.193
5,279.654,306.848
6,316.942,398.857
7,400.734,410.076
8,417.917,496.371
9,499.624,517.892
10,519.936,557.057
12,567.734,586.878
13,588.129,680.096
14,682.682,715.84
15,717.425,756.172
16,765.473,800.466
17,812.937,822.28
18,826.951,884.842
19,886.177,896.938
20,901.567,951.117
21,954.245,1021.479
22,1023.606,1087.336
23,1093.592,1115.114
24,1116.115,1152.985
25,1155.946,1180.388
26,1191.649,1251.25
28,1263.888,1301.884
29,1303.177,1347.888
30,1351.725,1381.297
31,1383.007,1424.34
32,1433.932,1467.341
34,1478.644,1502.626
35,1507.631,1541.707
36,1543.167,1599.139
37,1600.682,1622.454
38,1623.455,1667.374
39,1672.713,1710.792
40,1714.963,1771.52
42,1778.235,1840.338
43,1842.257,1862.402
44,1866.364,1889.805
45,1892.599,1905.737
46,1916.79,1963.211
47,1968.258,2004.753
48,2007.339,2073.905
50,2088.878,2142.682
51,2144.017,2174.13
52,2175.882,2192.816
53,2195.151,2198.738
54,2205.036,2260.008
55,2265.013,2269.934
56,2271.436,2271.436
58,2322.195,2346.427
59,2347.679,2363.695
61,2385.091,2434.015
62,2463.294,2476.766
63,2490.238,2507.714
64,2520.893,2558.806
65,2562.894,2606.312
66,2614.153,2650.356
67,2657.738,2669.375
69,2685.391,2693.357
70,2694.483,2698.237
71,2701.24,2714.921
72,2719.592,2736.15
73,2760.341,2801.298
74,2818.107,2833.08
75,2839.462,2905.152
76,2911.826,2951.991
78,2959.79,2974.221
79,3009.506,3085.165
80,3092.214,3151.899
82,3159.239,3197.403
83,3198.987,3251.665
84,3253.417,3300.756
85,3304.468,3390.429
86,3392.264,3447.861
87,3448.111,3472.26
88,3473.512,3565.729
89,3566.521,3598.512
90,3599.846,3606.77
91,3611.858,3653.692
92,3655.026,3711.499
93,3715.545,3764.928
95,3771.893,3898.228
96,3899.187,3943.064
97,3948.445,3963.918
99,3971.634,4001.039
100,4003.625,4088.376
101,4089.836,4104.517
102,4106.477,4190.478
103,4191.312,4216.129
104,4220.299,4259.297
105,4261.507,4302.924
106,4304.926,4346.092
107,4347.176,4375.037
108,4377.081,4413.326
109,4416.412,4506.168
111,4520.099,4529.608
112,4530.985,4563.017
113,4566.061,4571.108
115,4580.409,4629.041
116,4633.921,4678.173
117,4680.926,4778.899
118,4783.07,4794.54
120,4812.224,4815.31
121,4821.692,4909.613
123,4922.96,5059.179
124,5062.182,5155.025
125,5157.861,5190.435
126,5191.645,5196.733
127,5197.693,5219.297
128,5226.805,5242.654
129,5244.239,5244.239
130,5251.163,5274.352
131,5274.853,5285.614
134,5305.258,5381.293
137,5388.8,5404.274
138,5408.028,5443.438
140,5454.616,5460.538
141,5463.083,5534.904
142,5537.991,5548.793
143,5553.047,5604.724
144,5608.645,5662.323
145,5666.327,5696.149
146,5697.692,5738.316
147,5739.817,5749.41
148,5761.798,5812.14
149,5818.104,5829.615
150,5840.46,5945.523
151,5953.448,5971.215
152,5974.594,5975.887
154,5997.658,6086.247
155,6088.207,6091.377
156,6104.265,6190.393
157,6194.188,6215.0
158,6218.462,6279.356
159,6281.567,6314.141
160,6318.395,6357.851
162,6364.65,6394.763
163,6399.643,6448.776
164,6454.114,6512.756
165,6516.093,6551.253
166,6552.796,6587.539
167,6589.249,6616.026
168,6622.908,6644.805
169,6645.848,6656.275
171,6662.531,6713.29
172,6715.751,6788.448
173,6791.451,6832.367
174,6834.953,6863.398
175,6865.358,6879.414
176,6880.624,6925.836
177,6927.337,6999.993
178,7002.329,7002.329
179,7027.52,7100.802
180,7106.725,7138.298
182,7149.976,7202.153
183,7205.365,7233.226
184,7236.521,7276.895
185,7279.022,7309.26
186,7317.852,7339.832
187,7343.127,7361.729
189,7386.629,7428.254
190,7429.922,7486.521
193,7546.539,7583.785
194,7586.329,7614.065
195,7617.318,7733.476
196,7734.393,7768.678
197,7769.887,7781.399
198,7783.067,7837.246
199,7839.248,7849.8
200,7853.054,7867.151
201,7868.194,7908.567
202,7913.697,7948.649
203,7950.901,8019.345
204,8022.014,8052.044
205,8055.047,8077.945
206,8087.204,8102.344
207,8105.18,8117.609
208,8120.988,8172.247
209,8172.873,8234.685
210,8237.02,8252.411
211,8254.663,8282.441
212,8284.61,8332.741
213,8333.784,8346.129
214,8356.014,8392.593
215,8397.014,8435.552
216,8437.638,8457.491
217,8460.994,8537.779
218,8543.326,8562.387
219,8565.682,8601.51
220,8607.349,8647.764
