name,number of nodes,number of edges,avg. degree,std. degree,avg. edge weights,std. edge weights
Signs,23,47,4.086956522,3.717327739,8.190295863,17.4066876
One Flew Over the Cuckoo's Nest,31,278,17.93548387,8.151530566,5.808045883,8.677698198
The Ugly Truth,47,141,6,6.989353606,3.048406225,4.098522263
Marley & Me,56,65,2.321428571,4.351137548,4.832130256,7.07652158
Match Point,30,79,5.266666667,5.23407638,4.210678692,7.67020488
Bad Santa,38,58,3.052631579,4.44822477,2.377626054,4.354432493
The Lincoln Lawyer,47,74,3.14893617,4.712946061,2.068173273,3.147971986
Gone Girl,43,99,4.604651163,5.578778456,2.466612907,3.258366551
Harry Potter and the Sorcerer's Stone,64,208,6.5,8.037023703,3.092060924,6.482574129
Crash,49,97,3.959183673,3.398434115,2.416727033,2.21268308
Up in the Air,41,43,2.097560976,3.817832855,3.609393928,7.422757934
Slumdog Millionaire,55,104,3.781818182,5.84244939,3.617712607,3.841866414
The Adjustment Bureau,56,122,4.357142857,6.033917738,2.340523087,4.623646598
27 Dresses,61,77,2.524590164,4.657469085,2.434872006,5.121645892
The Social Network,74,148,4,5.706800116,1.621205818,2.374904778
Ocean's Eleven,54,168,6.222222222,7.365250409,3.420196263,3.951447839
10 Things I Hate About You,40,97,4.85,5.165026621,2.384581443,4.570689663
The Day the Earth Stood Still,39,102,5.230769231,5.298580064,4.170199837,7.060287811
Her,36,40,2.222222222,3.979887709,2.828316667,4.347258185
Indiana Jones and the Last Crusade,25,66,5.28,4.538898545,2.353688131,2.443044284
Friends with Benefits,32,40,2.5,3.913118961,4.752234028,13.13786897
Pretty Woman,64,136,4.25,6.640312493,1.593535172,5.969465553
Flight,51,79,3.098039216,4.560077837,3.68643256,5.111689928
The Godfather,45,163,7.244444444,6.673847984,2.630675528,2.993877231
The Girl with the Dragon Tattoo,68,68,2,4.069253436,2.842568382,5.304568456
Pulp Fiction,47,111,4.723404255,5.072672415,4.411936737,6.16044992
The Lost Weekend,11,15,2.727272727,2.452861375,7.829453704,10.28763775
Brokeback Mountain,39,71,3.641025641,4.293627834,1.616385759,1.374654465
Meet the Parents,30,64,4.266666667,5.14414446,4.873227604,9.68709164
Silver Linings Playbook*,36,103,5.722222222,6.112878532,3.5951,4.227808868
"Crazy, Stupid, Love",60,123,4.1,6.160898203,5.688653162,7.03782341
Four Weddings and a Funeral,47,173,7.361702128,7.317788097,2.153489692,3.911394506
The Firm,62,98,3.161290323,5.310347624,1.770193594,2.556702026
Jerry Maguire *,114,166,2.912280702,6.019793963,1.736156292,4.579783108
Sleepless in Seattle,44,87,3.954545455,4.828676392,3.058821137,5.352851202
Knocked Up,41,83,4.048780488,5.617703808,5.463655221,9.18054086
Forrest Gump,43,79,3.674418605,5.805854825,2.625473347,6.509397932
The Help,37,125,6.756756757,5.562448447,2.509474444,3.496889008
Australia,55,134,4.872727273,6.199866701,3.135012769,6.300215054
The Big Lebowski,39,88,4.512820513,5.803941167,3.284335101,6.221297436
Horrible Bosses,30,83,5.533333333,5.530119549,5.172266667,10.490834
Dallas Buyers Club,39,57,2.923076923,4.381690432,2.591929045,3.879382847
Juno,32,48,3,3.960744879,2.27251331,3.695821732
As Good as It Gets,50,105,4.2,5.499090834,1.81770291,4.125583878
Chasing Amy,25,60,4.8,4.4810713,6.59855463,14.28801756
